CO2,tVOC,Humidity,Temp,Fire
0.405,0.001,0.4389,0.2312,0
0.407,0.001,0.4429,0.2311,0
0.411,0.001,0.4431,0.2312,0
0.416,0.002,0.443,0.2311,0
0.424,0.003,0.4433,0.2311,0
0.424,0.003,0.4432,0.2312,0
0.421,0.003,0.4431,0.2312,0
0.465,0.009,0.4426,0.2312,0
0.421,0.003,0.4432,0.2311,0
0.465,0.009,0.4429,0.2312,0
0.465,0.009,0.4429,0.2312,0
0.459,0.008,0.4429,0.2312,0
0.459,0.008,0.4426,0.2312,0
0.459,0.008,0.4424,0.2312,0
0.451,0.007,0.4422,0.2313,0
0.461,0.009,0.4421,0.2312,0
0.465,0.009,0.4421,0.2312,0
0.451,0.007,0.4421,0.2312,0
0.448,0.007,0.442,0.2313,0
0.483,0.012,0.442,0.2312,0
0.435,0.005,0.4418,0.2311,0
0.435,0.005,0.4415,0.2312,0
0.411,0.001,0.4415,0.2312,0
0.444,0.006,0.4415,0.2312,0
0.461,0.009,0.4413,0.2312,0
0.416,0.002,0.4414,0.2312,0
0.416,0.002,0.4412,0.2312,0
0.416,0.002,0.4413,0.2312,0
0.416,0.002,0.4412,0.2312,0
0.416,0.002,0.4413,0.2313,0
0.411,0.001,0.4414,0.2312,0
0.416,0.002,0.4414,0.2312,0
0.421,0.003,0.4414,0.2313,0
0.407,0.001,0.4414,0.2312,0
0.4,0,0.4413,0.2313,0
0.4,0,0.4412,0.2312,0
0.4,0,0.441,0.2313,0
0.4,0,0.441,0.2314,0
0.4,0,0.4408,0.2313,0
0.4,0,0.4406,0.2312,0
0.4,0,0.4402,0.2312,0
0.4,0,0.44,0.2313,0
0.4,0,0.4396,0.2312,0
0.405,0,0.4392,0.2312,0
0.407,0.001,0.439,0.2312,0
0.407,0.001,0.439,0.2312,0
0.407,0.001,0.4389,0.2312,0
0.405,0,0.4387,0.2313,0
0.407,0.001,0.4387,0.2312,0
0.405,0,0.4386,0.2312,0
0.407,0.001,0.4383,0.2312,0
0.407,0.001,0.4384,0.2312,0
0.407,0.001,0.4384,0.2312,0
0.445,0.006,0.4387,0.2312,0
0.459,0.008,0.4384,0.2312,0
0.454,0.008,0.4387,0.2312,0
0.45,0.007,0.4384,0.2312,0
0.436,0.005,0.4383,0.2311,0
0.421,0.003,0.4382,0.2312,0
0.421,0.003,0.4382,0.2312,0
0.405,0,0.4383,0.2313,0
0.407,0.001,0.4382,0.2312,0
0.463,0.009,0.4384,0.2312,0
0.465,0.009,0.4387,0.2312,0
